instance_name,type,n,R,num_anchors,alpha,edge_density,infeas_strategy,infeas_base,box_scale,log_domain_sum_orig,log_domain_sum_ps,num_quadratic_constraints_orig,num_quadratic_constraints_ps,num_linear_constraints_orig,num_linear_constraints_ps,parity_presolve_time,residue_presolve_time,num_parity_substitutions,num_pattern_substitutions,num_variables_fixed,num_constraints_tightened,num_constraints_eq_tightened,avg_relative_bound_tightening,infeasibility_detected,infeasibility_source
lam_28,laman,20,100,3,0.0,,,,,251.5809354481168,198.25854929197604,94,79,6,68,0.3815310001373291,0.5676040649414062,67,36,2,23,0,0.02973708366115919,false,none
lam_29,laman,20,100,3,0.0,,,,,279.5698308979487,92.00559345720924,94,37,6,14,0.8875141143798828,0.0911409854888916,219,89,47,13,0,0.0,false,none
lam_30,laman,20,100,3,0.0,,,,,266.7974916164188,118.77567431571384,94,59,6,60,1.1467218399047852,0.3563721179962158,188,113,38,14,0,0.0,false,none
lam_31,laman,100,100,3,0.0,,,,,1637.472000767033,1145.2337959640984,494,473,6,416,2.503257989883423,4.275564193725586,595,372,47,147,0,0.1261041079456681,false,none
lam_32,laman,100,100,3,0.0,,,,,1630.2404027791115,1161.837910758103,494,474,6,428,1.7338509559631348,2.673063039779663,585,349,54,149,0,0.05857342771390193,false,none
lam_33,laman,100,100,3,0.0,,,,,1724.667422253359,1276.8201736322264,494,480,6,428,1.0005948543548584,2.5285627841949463,522,245,23,127,0,0.05615807356062229,false,none
lam_34,laman,100,100,3,0.0,,,,,1619.1896055579161,1235.1880129551366,494,475,6,318,1.1330440044403076,2.0434300899505615,460,258,20,141,0,0.03461744062307089,false,none
lam_35,laman,100,100,3,0.0,,,,,1619.994473483001,595.4365303525889,494,239,6,143,3.813601016998291,0.6898300647735596,1255,683,297,77,0,0.06535917709568625,false,none
lam_36,laman,100,100,3,0.0,,,,,1672.441374853292,1222.5847965896396,494,470,6,343,1.1381640434265137,2.1758480072021484,529,223,35,126,0,0.043034974704666176,false,none
lam_37,laman,100,100,3,0.0,,,,,1603.8083543568184,1371.5775815395543,494,475,6,459,1.1050841808319092,2.0501790046691895,297,231,1,165,0,0.0,false,none
lam_38,laman,100,100,3,0.0,,,,,1700.2209639009398,1295.0732731553971,494,480,6,441,0.992933988571167,2.1913301944732666,486,241,20,142,0,0.05967036578256614,false,none
lam_39,laman,100,100,3,0.0,,,,,1684.204214206768,1301.726385846844,494,479,6,418,1.543370008468628,2.94030499458313,453,334,17,118,0,0.04239614567128693,false,none
lam_40,laman,100,100,3,0.0,,,,,1723.6713838349117,1415.256229057127,494,476,6,434,0.7298619747161865,3.5611519813537598,364,244,14,172,0,0.01996825396825397,false,none
lam_41,laman,20,100,0,0.01,,,,,302.93897567727646,298.96279806278227,93,53,5,9,0.11278986930847168,0.6389541625976562,4,4,0,37,1,0.06749382414997919,false,none
lam_42,laman,20,100,0,0.01,,,,,322.96338503806464,320.9688757915423,93,51,5,1,0.0449368953704834,0.440093994140625,0,0,0,43,0,0.051309215899010864,false,none
lam_43,laman,20,100,0,0.01,,,,,297.1826185428934,295.18921372309455,93,50,5,1,0.03395199775695801,0.4305000305175781,0,0,0,42,0,0.074384998843294,false,none
lam_44,laman,20,100,0,0.01,,,,,317.54223659044646,315.5474308134185,93,53,5,1,0.033457040786743164,0.5097541809082031,0,0,0,40,0,0.06700540309403327,false,none
lam_45,laman,20,100,0,0.01,,,,,282.7761502585229,277.1678882161562,93,48,5,1,0.07352805137634277,0.4121060371398926,4,0,0,38,1,0.08160382343611526,false,none
lam_46,laman,20,100,0,0.01,,,,,306.3196859470809,304.3262811272821,93,52,5,1,0.039691925048828125,0.5176851749420166,0,0,0,43,0,0.05334930918280641,false,none
lam_47,laman,20,100,0,0.01,,,,,308.1271478067717,306.1330909398343,93,52,5,1,0.03558802604675293,0.47675395011901855,0,0,0,48,1,0.10997014565668739,false,none
lam_48,laman,20,100,0,0.01,,,,,302.38723732323075,300.3930138818804,93,49,5,1,0.03330588340759277,0.3936281204223633,0,0,0,38,0,0.03834832918944979,false,none
lam_49,laman,20,100,0,0.01,,,,,316.786871303631,314.79197367468964,93,52,5,1,0.03426814079284668,0.4940049648284912,0,0,0,43,0,0.037259996432349785,false,none
lam_50,laman,20,100,0,0.01,,,,,305.85226720819315,303.857908246318,93,52,5,1,0.03488302230834961,0.5222311019897461,0,0,0,41,0,0.02735295670225592,false,none
lam_51,laman,100,100,0,0.01,,,,,1692.791435765225,1684.9762705214368,493,289,5,25,0.1978158950805664,2.813812017440796,12,12,0,218,0,0.04889188676320781,false,none
lam_52,laman,100,100,0,0.01,,,,,1708.8466146454034,1702.9115349759093,493,285,5,17,0.21813106536865234,2.8372020721435547,8,8,0,223,3,0.059223808905109566,false,none
lam_53,laman,100,100,0,0.01,,,,,1724.9492600389347,1720.970906533586,493,291,5,9,0.1698780059814453,2.855336904525757,4,4,0,230,2,0.06412979535013445,false,none
lam_54,laman,100,100,0,0.01,,,,,1693.3040574699264,1689.3227135689615,493,287,5,9,0.14235901832580566,2.9465298652648926,4,4,0,231,0,0.03807112728462298,false,none
lam_55,laman,100,100,0,0.01,,,,,1728.8018084746925,1720.860768122891,493,290,5,25,0.2821991443634033,3.1823079586029053,12,12,0,229,2,0.05540173255952635,false,none
lam_56,laman,100,100,0,0.01,,,,,1705.9979458038868,1700.052428282322,493,285,5,17,0.13269972801208496,3.2781968116760254,8,8,0,229,3,0.06649371481874303,false,none
lam_57,laman,100,100,0,0.01,,,,,1721.114355011439,1719.1178931971451,493,288,5,1,0.08434724807739258,2.7040529251098633,0,0,0,226,1,0.045524756663700885,false,none
lam_58,laman,100,100,0,0.01,,,,,1747.9731312476047,1745.9766265721773,493,289,5,1,0.06912398338317871,2.8272719383239746,0,0,0,225,1,0.03889374328344695,false,none
lam_59,laman,100,100,0,0.01,,,,,1778.6901519865414,1776.6933958205893,493,287,5,1,0.08118081092834473,2.9031360149383545,0,0,0,226,2,0.03965571452637912,false,none
lam_60,laman,100,100,0,0.01,,,,,1685.7604999473788,1679.8146035452687,493,290,5,17,0.2015380859375,2.663567066192627,8,8,0,219,0,0.05205288874553693,false,none
lam_61,laman,20,100,3,0.01,,,,,252.6650428984967,252.6650428984967,131,74,6,0,0.06963396072387695,0.3250460624694824,0,0,0,59,0,0.060499955353792184,false,none
lam_62,laman,20,100,3,0.01,,,,,266.84477355152893,266.84477355152893,131,79,6,0,0.05664801597595215,0.42789697647094727,0,0,0,53,0,0.03606879310966864,false,none
lam_63,laman,20,100,3,0.01,,,,,262.56424456458774,262.56424456458774,131,78,6,0,0.0645148754119873,0.38892412185668945,0,0,0,63,0,0.047700228757262035,false,none
lam_64,laman,20,100,3,0.01,,,,,271.82395215651445,267.91431202831774,131,79,6,16,0.18889904022216797,0.3523390293121338,8,8,0,53,0,0.05054072016812252,false,none
lam_65,laman,20,100,3,0.01,,,,,249.51601001295435,249.51601001295435,131,79,6,0,0.05566000938415527,0.41872596740722656,0,0,0,55,1,0.07784502233973319,false,none
lam_66,laman,20,100,3,0.01,,,,,243.67066247889517,243.67066247889517,131,78,6,0,0.055329084396362305,0.3789808750152588,0,0,0,54,0,0.05946136184325984,false,none
lam_67,laman,20,100,3,0.01,,,,,273.89260363903423,273.89260363903423,131,77,6,0,0.055657148361206055,0.37729692459106445,0,0,0,61,0,0.043527099494251306,false,none
lam_68,laman,20,100,3,0.01,,,,,228.13374756383723,228.13374756383723,131,75,6,0,0.06571197509765625,0.2896759510040283,0,0,0,57,0,0.0602854337670833,false,none
lam_69,laman,20,100,3,0.01,,,,,264.57042384439285,264.57042384439285,131,77,6,0,0.05438399314880371,0.36621618270874023,0,0,0,57,0,0.030550835711543694,false,none
lam_70,laman,20,100,3,0.01,,,,,268.09663931209724,268.09663931209724,131,78,6,0,0.05392599105834961,0.3943500518798828,0,0,0,60,0,0.02783110906378394,false,none
